date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:52	89592/89592	---M-Z	200	added ('OK')	text/html	etag:%2215df8-6532f0e4b9ae6-gzip%22	https://techzaa.in/rasket/admin/layouts-dark-topnav.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/layouts-dark-topnav.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:52	89573/89573	---M-Z	200	added ('OK')	text/html	etag:%2215de5-6532f0e4bc9c6-gzip%22	https://techzaa.in/rasket/admin/layouts-simple-sidenav.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/layouts-simple-sidenav.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:53	89589/89589	---M-Z	200	added ('OK')	text/html	etag:%2215df5-6532f0e4bd966-gzip%22	https://techzaa.in/rasket/admin/layouts-small-sidenav.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/layouts-small-sidenav.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:53	89571/89571	---M-Z	200	added ('OK')	text/html	etag:%2215de3-6532f0e4bd966-gzip%22	https://techzaa.in/rasket/admin/layouts-small-hover.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/layouts-small-hover.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:53	89575/89575	---M-Z	200	added ('OK')	text/html	etag:%2215de7-6532f0e4bba26-gzip%22	https://techzaa.in/rasket/admin/layouts-hidden-sidenav.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/layouts-hidden-sidenav.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:54	89569/89569	---M-Z	200	added ('OK')	text/html	etag:%2215de1-6532f0e4baa86-gzip%22	https://techzaa.in/rasket/admin/layouts-dark.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/layouts-dark.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:54	301828/301828	---M-Z	200	added ('OK')	text/html	etag:%2249b04-6532f0e4ab084-gzip%22	https://techzaa.in/rasket/admin/apps-email.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/apps-email.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:54	65087/65087	---M-Z	200	added ('OK')	text/html	etag:%22fe3f-6532f0e4aa0e3-gzip%22	https://techzaa.in/rasket/admin/apps-calendar-schedule.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/apps-calendar-schedule.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:54	82424/82424	---M-Z	200	added ('OK')	text/html	etag:%22141f8-6532f0e4a9143-gzip%22	https://techzaa.in/rasket/admin/apps-calendar-integration.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/apps-calendar-integration.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:55	97600/97600	---M-Z	200	added ('OK')	text/html	etag:%2217d40-6532f0e4ab084-gzip%22	https://techzaa.in/rasket/admin/apps-todo.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/apps-todo.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:55	91901/91901	---M-Z	200	added ('OK')	text/html	etag:%22166fd-6532f0e4ab084-gzip%22	https://techzaa.in/rasket/admin/apps-invoices.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/apps-invoices.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:55	72829/72829	---M-Z	200	added ('OK')	text/html	etag:%2211c7d-6532f0e4ab084-gzip%22	https://techzaa.in/rasket/admin/apps-invoice-details.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/apps-invoice-details.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:55	59391/59391	---M-Z	200	added ('OK')	text/html	etag:%22e7ff-6532f0e4bf8a6-gzip%22	https://techzaa.in/rasket/admin/pages-starter.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/pages-starter.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:56	4257/4257	---M-Z	200	added ('OK')	text/html	etag:%2210a1-623282c0f6587-gzip%22	https://techzaa.in/rasket/admin/pages-comingsoon.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/pages-comingsoon.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:56	68091/68091	---M-Z	200	added ('OK')	text/html	etag:%22109fb-6532f0e4c0847-gzip%22	https://techzaa.in/rasket/admin/pages-timeline.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/pages-timeline.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:56	4496/4496	---M-Z	200	added ('OK')	text/html	etag:%221190-623282c0f6587-gzip%22	https://techzaa.in/rasket/admin/pages-maintenance.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/pages-maintenance.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:57	4077/4077	---M-Z	200	added ('OK')	text/html	etag:%22fed-623282c0f6587-gzip%22	https://techzaa.in/rasket/admin/pages-404.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/pages-404.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:57	64956/64956	---M-Z	200	added ('OK')	text/html	etag:%22fdbc-6532f0e4bf8a6-gzip%22	https://techzaa.in/rasket/admin/pages-404-alt.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/pages-404-alt.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:57	5886/5886	---M-Z	200	added ('OK')	text/html	etag:%2216fe-623282c0f36a7-gzip%22	https://techzaa.in/rasket/admin/auth-signup.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/auth-signup.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:58	3984/3984	---M-Z	200	added ('OK')	text/html	etag:%22f90-623282c0f36a7-gzip%22	https://techzaa.in/rasket/admin/auth-password.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/auth-password.html	(from https://techzaa.in/rasket/admin/index.html)
15:13:59	147180/147180	---M-Z	200	added ('OK')	text/html	etag:%2223eec-6532f0e4d5069-gzip%22	https://techzaa.in/rasket/admin/widgets.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/widgets.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:00	97927/97927	---M-Z	200	added ('OK')	text/html	etag:%2217e87-6532f0e4c2787-gzip%22	https://techzaa.in/rasket/admin/ui-accordion.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-accordion.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:01	90945/90945	---M-Z	200	added ('OK')	text/html	etag:%2216341-6532f0e4c2787-gzip%22	https://techzaa.in/rasket/admin/ui-alerts.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-alerts.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:01	70938/70938	---M-Z	200	added ('OK')	text/html	etag:%221151a-6532f0e4c2787-gzip%22	https://techzaa.in/rasket/admin/ui-avatar.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-avatar.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:01	92857/92857	---M-Z	200	added ('OK')	text/html	etag:%2216ab9-6532f0e4c46c7-gzip%22	https://techzaa.in/rasket/admin/ui-badge.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-badge.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:02	72728/72728	---M-Z	200	added ('OK')	text/html	etag:%2211c18-6532f0e4c46c7-gzip%22	https://techzaa.in/rasket/admin/ui-breadcrumb.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-breadcrumb.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:02	109284/109284	---M-Z	200	added ('OK')	text/html	etag:%221aae4-6532f0e4c6607-gzip%22	https://techzaa.in/rasket/admin/ui-buttons.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-buttons.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:02	117101/117101	---M-Z	200	added ('OK')	text/html	etag:%221c96d-6532f0e4c94e8-gzip%22	https://techzaa.in/rasket/admin/ui-card.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-card.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:02	120561/120561	---M-Z	200	added ('OK')	text/html	etag:%221d6f1-6532f0e4c94e8-gzip%22	https://techzaa.in/rasket/admin/ui-carousel.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-carousel.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:03	79033/79033	---M-Z	200	added ('OK')	text/html	etag:%22134b9-6532f0e4c94e8-gzip%22	https://techzaa.in/rasket/admin/ui-collapse.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-collapse.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:03	148503/148503	---M-Z	200	added ('OK')	text/html	etag:%2224417-6532f0e4d0249-gzip%22	https://techzaa.in/rasket/admin/ui-dropdown.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-dropdown.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:03	107082/107082	---M-Z	200	added ('OK')	text/html	etag:%221a24a-6532f0e4d0249-gzip%22	https://techzaa.in/rasket/admin/ui-list-group.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-list-group.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:03	169595/169595	---M-Z	200	added ('OK')	text/html	etag:%222967b-6532f0e4d0249-gzip%22	https://techzaa.in/rasket/admin/ui-modal.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-modal.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:04	132456/132456	---M-Z	200	added ('OK')	text/html	etag:%2220568-6532f0e4d40c9-gzip%22	https://techzaa.in/rasket/admin/ui-tabs.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-tabs.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:04	107727/107727	---M-Z	200	added ('OK')	text/html	etag:%221a4cf-6532f0e4d3129-gzip%22	https://techzaa.in/rasket/admin/ui-offcanvas.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-offcanvas.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:04	85716/85716	---M-Z	200	added ('OK')	text/html	etag:%2214ed4-6532f0e4d3129-gzip%22	https://techzaa.in/rasket/admin/ui-pagination.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-pagination.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:05	75824/75824	---M-Z	200	added ('OK')	text/html	etag:%2212830-6532f0e4d3129-gzip%22	https://techzaa.in/rasket/admin/ui-placeholders.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-placeholders.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:05	79133/79133	---M-Z	200	added ('OK')	text/html	etag:%221351d-6532f0e4d3129-gzip%22	https://techzaa.in/rasket/admin/ui-popovers.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-popovers.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:05	80857/80857	---M-Z	200	added ('OK')	text/html	etag:%2213bd9-6532f0e4d40c9-gzip%22	https://techzaa.in/rasket/admin/ui-progress.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-progress.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:05	67071/67071	---M-Z	200	added ('OK')	text/html	etag:%22105ff-6532f0e4d40c9-gzip%22	https://techzaa.in/rasket/admin/ui-scrollspy.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-scrollspy.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:06	89951/89951	---M-Z	200	added ('OK')	text/html	etag:%2215f5f-6532f0e4d40c9-gzip%22	https://techzaa.in/rasket/admin/ui-spinners.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-spinners.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:06	101978/101978	---M-Z	200	added ('OK')	text/html	etag:%2218e5a-6532f0e4d40c9-gzip%22	https://techzaa.in/rasket/admin/ui-toasts.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-toasts.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:06	67473/67473	---M-Z	200	added ('OK')	text/html	etag:%2210791-6532f0e4d40c9-gzip%22	https://techzaa.in/rasket/admin/ui-tooltips.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/ui-tooltips.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:06	88599/88599	---M-Z	200	added ('OK')	text/html	etag:%2215a17-6532f0e4afea4-gzip%22	https://techzaa.in/rasket/admin/extended-ratings.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/extended-ratings.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:07	95408/95408	---M-Z	200	added ('OK')	text/html	etag:%22174b0-6532f0e4b1de4-gzip%22	https://techzaa.in/rasket/admin/extended-sweetalert.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/extended-sweetalert.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:07	111665/111665	---M-Z	200	added ('OK')	text/html	etag:%221b431-6532f0e4b2d85-gzip%22	https://techzaa.in/rasket/admin/extended-swiper-silder.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/extended-swiper-silder.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:07	83968/83968	---M-Z	200	added ('OK')	text/html	etag:%2214800-6532f0e4afea4-gzip%22	https://techzaa.in/rasket/admin/extended-scrollbar.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/extended-scrollbar.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:08	75324/75324	---M-Z	200	added ('OK')	text/html	etag:%221263c-6532f0e4b2d85-gzip%22	https://techzaa.in/rasket/admin/extended-toastify.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/extended-toastify.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:08	78574/78574	---M-Z	200	added ('OK')	text/html	etag:%22132ee-6532f0e4adf64-gzip%22	https://techzaa.in/rasket/admin/charts-apex-area.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-area.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:08	65466/65466	---M-Z	200	added ('OK')	text/html	etag:%22ffba-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-bar.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-bar.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:08	63919/63919	---M-Z	200	added ('OK')	text/html	etag:%22f9af-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-bubble.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-bubble.html	(from https://techzaa.in/rasket/admin/index.html)
15:14:09	62135/62135	---M-Z	200	added ('OK')	text/html	etag:%22f2b7-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-candlestick.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-candlestick.html	(from https://techzaa.in/rasket/admin/index.html)
